package_name,filename,md5,play_prog_title,play_version,play_url,size,play_installs,play_dev,play_dev_site,play_dev_address
org.pathcheck.la.bt,"org.pathcheck.la.bt_1.9.1-2661_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",9ca7904e21c160a4ddbb30d3e6b24145,COVID Defense,1.9.1,https://play.google.com/store/apps/details?id=org.pathcheck.la.bt&hl=en&gl=us,64.72MB,"50,000+",State of Louisiana,https://www.coviddefensela.com/,"Louisiana Division of Administration
1201 N 3rd St.
Baton Rouge, LA 70802-5243"
org.pathcheck.covidsafepathsBt.mn,"org.pathcheck.covidsafepathsBt.mn_1.6.1-2472_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",ec0b7588606f5f7374d68ebdbc374e37,COVIDaware MN,1.6.1,https://play.google.com/store/apps/details?id=org.pathcheck.covidsafepathsBt.mn&hl=en&gl=us,64.72MB,"100,000+",State of Minnesota,https://covidawaremn.com,
nz.govt.health.covidtracer,"nz.govt.health.covidtracer_5.1.0-4384_minAPI23(arm64-v8a,armeabi,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",c354aa8b11cbe3a3620ff7140494a267,NZ COVID Tracer,5.1.0,https://play.google.com/store/apps/details?id=nz.govt.health.covidtracer&hl=en&gl=us,51.33MB,"1,000,000+",Ministry of Health NZ,https://www.health.govt.nz/nz-covid-tracer,
gov.pa.covidtracker,"gov.pa.covidtracker_2.0.0-46_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",f81e1285815d3b14e34bbe26662704ed,COVID Alert PA,2.0.0,https://play.google.com/store/apps/details?id=gov.pa.covidtracker&hl=en&gl=us,105.68MB,"500,000+",Commonwealth of Pennsylvania,https://www.pa.gov/covid/covid-alert-pa/,
gov.ny.health.proximity,"gov.ny.health.proximity_1.1.7-83_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",8f0de5400f6358651f46329b3a6562a6,COVID Alert NY,1.1.7,https://play.google.com/store/apps/details?id=gov.ny.health.proximity&hl=en&gl=us,105.89MB,"500,000+",New York State Department of Health,https://covidalertny.health.ny.gov/,
jp.go.mhlw.covid19radar,"jp.go.mhlw.covid19radar_1.2.5-1625635535_minAPI23(arm64-v8a,armeabi-v7a)(nodpi)_apkmirror.com.apk",c9a14ec485bd70059c172607a76a618e,COCOA - COVID-19 Contact App,1.2.5,https://play.google.com/store/apps/details?id=jp.go.mhlw.covid19radar&hl=en&gl=us,27.61MB,"5,000,000+",厚生労働省健康局,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/cocoa_00138.html,
mx.gob.www,mx.gob.www_2.2.2-147_minAPI23(nodpi)_apkmirror.com.apk,0b406243076582f7365e3a7bdf360c4c,COVID-19MX,Varies with device,https://play.google.com/store/apps/details?id=mx.gob.www&hl=en&gl=us,10.07MB,"500,000+",Secretaría de Salud MX,https://www.gob.mx,
mt.gov.dp3t,mt.gov.dp3t_2.0.1-44_minAPI23(nodpi)_apkmirror.com.apk,2111eac9637d815e74045d128b902d86,COVID Alert Malta,2.0.1,https://play.google.com/store/apps/details?id=mt.gov.dp3t&hl=en&gl=us,8.21MB,"50,000+",Government of Malta,https://covidalert.gov.mt/,
gov.de.covidtracker,"gov.de.covidtracker_1.2.2-24_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",010abcd77b9784a14c46984b1bd8af45,Covid Alert DE,1.2.2,https://play.google.com/store/apps/details?id=gov.de.covidtracker&hl=en&gl=us,105.49MB,"50,000+",Delaware Department of Health and Social Services,https://de.gov/covidalert,
com.covidtracker.hse,"com.covidtracker.hse_1.0.7-133_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",0f4b65efaf1293bf0d0f598d392569d9,COVID Tracker Ireland,1.0.7,https://play.google.com/store/apps/details?id=com.covidtracker.hse&hl=en&gl=us,107.54MB,"500,000+",Health Service Executive (HSE),https://covidtracker.ie,"HSE Communications
10/11 Cornmarket
Dublin
D08X8C6
Ireland"
hr.miz.evidencijakontakata,hr.miz.evidencijakontakata_2.2.0-11_minAPI23(nodpi)_apkmirror.com.apk,a6375f4a498deb94de7a8afdfb1335af,Stop COVID-19,2.2.0,https://play.google.com/store/apps/details?id=hr.miz.evidencijakontakata&hl=en&gl=us,8.91MB,"50,000+",Ministarstvo zdravstva,https://zdravstvo.gov.hr/,
com.nj.gov.covidalert,"com.nj.gov.covidalert_1.1.4-40_minAPI23(arm64-v8a,armeabi-v7a,x86,x86_64)(nodpi)_apkmirror.com.apk",6f3eb0fe58c81b9aac23c8adc759d634,COVID Alert NJ,1.1.4,https://play.google.com/store/apps/details?id=com.nj.gov.covidalert&hl=en&gl=us,106.04MB,"100,000+",State of New Jersey  Applications,https://covid19.nj.gov/index.html,
gov.vdh.exposurenotification,gov.vdh.exposurenotification_1.5-144_minAPI23(nodpi)_apkmirror.com.apk,87a958f023e4f622235d3f13775a23f3,COVIDWISE,1.5,https://play.google.com/store/apps/details?id=gov.v
